,0,close,high,low,open,volume,x,zdn,zigzag,zup
1,,202.7,202.9,202.65,202.95,651790.0,2019-07-17 09:16:00,,,
2,,202.65,202.7,202.65,202.7,11118.0,2019-07-17 09:17:00,,,
3,,202.7,202.7,202.65,202.65,6976.0,2019-07-17 09:18:00,,,
4,,202.7,202.7,202.65,202.7,17373.0,2019-07-17 09:19:00,,,
5,,203.15,203.25,202.7,202.7,171374.0,2019-07-17 09:20:00,,,
6,,203.3,203.35,203.2,203.15,10596.0,2019-07-17 09:21:00,,,
7,,203.4,203.4,203.35,203.3,9510.0,2019-07-17 09:22:00,,,
8,,203.25,203.4,203.25,203.4,65004.0,2019-07-17 09:23:00,,,
9,,202.7,203.25,202.7,203.25,53328.0,2019-07-17 09:24:00,,,
10,,202.6,202.7,202.6,202.7,21243.0,2019-07-17 09:25:00,,,
11,,202.45,202.6,202.4,202.6,191935.0,2019-07-17 09:26:00,,,
12,,203.35,203.5,202.45,202.45,191470.0,2019-07-17 09:27:00,,,
13,,202.8,203.2,202.8,203.35,32609.0,2019-07-17 09:28:00,,,
14,,202.45,202.8,202.45,202.8,68789.0,2019-07-17 09:29:00,,,
15,,202.8,202.8,202.2,202.45,94053.0,2019-07-17 09:30:00,,,
16,,202.8,202.95,202.75,202.8,158041.0,2019-07-17 09:31:00,,,
17,,202.95,202.95,202.75,202.8,8292.0,2019-07-17 09:32:00,,,
18,,203.25,203.25,203.0,202.95,41894.0,2019-07-17 09:33:00,,,
19,,203.35,203.35,203.25,203.25,7075.0,2019-07-17 09:34:00,,,
20,,203.55,203.6,203.4,203.35,10822.0,2019-07-17 09:35:00,,,
21,,203.55,203.6,203.55,203.55,1602.0,2019-07-17 09:36:00,,,
22,,203.55,203.6,203.55,203.55,25813.0,2019-07-17 09:37:00,,,
23,,203.55,203.55,203.5,203.55,22161.0,2019-07-17 09:38:00,,,
24,,204.55,204.55,203.55,203.55,693099.0,2019-07-17 09:39:00,,,
25,,204.65,204.65,204.55,204.55,79216.0,2019-07-17 09:40:00,,,
26,,204.75,205.45,204.65,204.65,366579.0,2019-07-17 09:41:00,,,
28,,203.8,204.15,203.7,204.15,129107.0,2019-07-17 09:43:00,,,
29,,203.75,203.8,203.75,203.8,13587.0,2019-07-17 09:44:00,,,
30,,203.65,203.75,203.65,203.75,17979.0,2019-07-17 09:45:00,,,
31,,203.9,203.9,203.65,203.65,19071.0,2019-07-17 09:46:00,,,
32,,203.55,203.9,203.55,203.9,46954.0,2019-07-17 09:47:00,,,
33,,203.55,203.55,203.55,203.55,400.0,2019-07-17 09:48:00,,,
34,,203.65,203.7,203.55,203.55,15261.0,2019-07-17 09:49:00,,,
35,,203.5,203.7,203.5,203.65,10865.0,2019-07-17 09:50:00,,,
36,,203.45,203.55,203.45,203.5,18968.0,2019-07-17 09:51:00,,,
37,,203.35,203.45,203.35,203.45,10975.0,2019-07-17 09:52:00,,,
38,,203.4,203.4,203.35,203.35,4665.0,2019-07-17 09:53:00,,,
39,,203.55,203.55,203.35,203.4,10918.0,2019-07-17 09:54:00,,,
40,,203.75,203.75,203.55,203.55,124689.0,2019-07-17 09:55:00,,,
41,,203.75,203.85,203.75,203.75,15387.0,2019-07-17 09:56:00,,,
42,,203.65,203.8,203.6,203.75,3506.0,2019-07-17 09:57:00,,,
43,,203.7,203.75,203.7,203.65,5143.0,2019-07-17 09:58:00,,,
44,,203.25,203.7,203.2,203.7,67115.0,2019-07-17 09:59:00,,,
45,,203.0,203.2,202.85,203.25,82590.0,2019-07-17 10:00:00,,,
46,,202.25,203.05,202.25,203.0,266863.0,2019-07-17 10:01:00,,,
47,,201.0,202.4,200.9,202.25,678761.0,2019-07-17 10:02:00,,,
48,,201.3,201.75,200.85,201.0,613912.0,2019-07-17 10:03:00,,,
49,,201.15,201.35,201.0,201.3,39957.0,2019-07-17 10:04:00,,,
50,,201.1,201.15,200.75,201.15,31476.0,2019-07-17 10:05:00,,,
51,,201.45,201.8,201.1,201.1,65145.0,2019-07-17 10:06:00,,,
52,,200.75,201.5,200.75,201.45,96835.0,2019-07-17 10:07:00,,,
53,,201.0,201.0,200.75,200.75,40105.0,2019-07-17 10:08:00,,,
54,,201.05,201.3,201.0,201.0,24739.0,2019-07-17 10:09:00,,,
55,,201.15,201.25,201.0,201.05,8761.0,2019-07-17 10:10:00,,,
56,,200.9,201.15,200.8,201.15,28220.0,2019-07-17 10:11:00,,,
57,,200.8,201.2,200.8,200.9,29446.0,2019-07-17 10:12:00,,,
58,,200.25,200.85,200.05,200.8,174628.0,2019-07-17 10:13:00,,,
59,,200.4,200.6,200.0,200.25,105264.0,2019-07-17 10:14:00,,,
60,,199.95,200.35,199.85,200.4,23493.0,2019-07-17 10:15:00,,,
62,,200.25,200.25,199.35,199.35,87695.0,2019-07-17 10:17:00,,,
63,,200.35,200.5,200.25,200.25,15229.0,2019-07-17 10:18:00,,,
64,,200.5,200.5,200.3,200.35,91531.0,2019-07-17 10:19:00,,,
65,,200.55,200.65,200.45,200.5,112787.0,2019-07-17 10:20:00,,,
66,,200.7,200.7,200.55,200.55,88337.0,2019-07-17 10:21:00,,,
67,,200.7,200.7,200.65,200.7,54696.0,2019-07-17 10:22:00,,,
68,,200.75,200.8,200.7,200.7,169672.0,2019-07-17 10:23:00,,,
69,,200.4,200.75,200.35,200.75,63704.0,2019-07-17 10:24:00,,,
70,,200.45,200.45,200.35,200.4,8277.0,2019-07-17 10:25:00,,,
72,,201.15,201.55,201.1,201.5,290726.0,2019-07-17 10:27:00,,,
73,,201.25,201.35,201.15,201.15,25981.0,2019-07-17 10:28:00,,,
74,,201.3,201.3,201.15,201.25,3806.0,2019-07-17 10:29:00,,,
75,,201.25,201.3,201.25,201.3,2221.0,2019-07-17 10:30:00,,,
76,,200.75,201.3,200.75,201.25,25293.0,2019-07-17 10:31:00,,,
77,,200.5,200.75,200.35,200.75,34815.0,2019-07-17 10:32:00,,,
78,,200.3,200.65,200.05,200.5,651934.0,2019-07-17 10:33:00,,,
79,,199.45,200.45,199.45,200.3,106118.0,2019-07-17 10:34:00,,,
80,,199.6,199.85,199.45,199.45,69879.0,2019-07-17 10:35:00,,,
81,,199.65,199.9,199.1,199.6,190459.0,2019-07-17 10:36:00,,,
82,,200.1,200.2,199.6,199.65,90471.0,2019-07-17 10:37:00,,,
83,,200.4,200.4,200.05,200.1,62179.0,2019-07-17 10:38:00,,,
84,,200.35,200.65,200.35,200.4,159293.0,2019-07-17 10:39:00,,,
85,,200.35,200.4,200.0,200.35,163824.0,2019-07-17 10:40:00,,,
86,,200.5,200.55,200.15,200.35,9274.0,2019-07-17 10:41:00,,,
87,,200.85,200.95,200.3,200.5,236434.0,2019-07-17 10:42:00,,,
88,,200.8,200.8,200.6,200.85,24694.0,2019-07-17 10:43:00,,,
89,,200.55,200.85,200.5,200.8,13413.0,2019-07-17 10:44:00,,,
90,,200.45,200.5,200.45,200.55,6412.0,2019-07-17 10:45:00,,,
91,,200.1,200.35,199.95,200.45,27509.0,2019-07-17 10:46:00,,,
92,,200.7,200.7,200.3,200.1,24660.0,2019-07-17 10:47:00,,,
93,,200.6,200.7,200.35,200.7,14293.0,2019-07-17 10:48:00,,,
94,,200.25,200.45,200.25,200.6,12466.0,2019-07-17 10:49:00,,,
95,,200.85,201.0,200.25,200.25,107598.0,2019-07-17 10:50:00,,,
96,,200.5,200.85,200.5,200.85,10698.0,2019-07-17 10:51:00,,,
97,,200.3,200.5,200.3,200.5,46988.0,2019-07-17 10:52:00,,,
98,,199.5,200.25,199.4,200.3,221956.0,2019-07-17 10:53:00,,,
